,LVMH,TELECOM ITALIA,NOKIA,DEUTSCHE BANK,AEGON,SCHLUMBERGER,NTTDoCoMo,HONDA MOTOR,TOSHIBA,PROCTER & GAMBLE,BANK OF AMERICA,ENEL,LEGAL & GENERAL,BRIDGESTONE,AIR LQUIDE,GENERALI
20/02/14,"137,149","0,866","5,3","30,01","6,36","91,03","1,673","3,699","4,41","77,92","16,3","3,78",205,"3,62","79,35","16,71"
21/02/14,"137,449","0,872","5,41","29,99","6,59","90,07","1,692","3,68","4,36","77,97","16,29","3,76",205,"3,677","79,43","16,62"
24/02/14,"138,749","0,87","5,53","30,39","6,57","92,72","1,7","3,71","4,38","77,86","16,53","3,77",205,"3,71","79,89","16,56"
25/02/14,"137,349","0,875","5,61","30,27","6,57","92,57","1,702","3,705","4,41","78,12","16,34","3,75",205,"3,706","79,98","16,5"
26/02/14,"135,149","0,85","5,62","29,85","6,55",93,"1,685","3,699","4,42","77,86","16,33","3,71",205,"3,694","79,79","16,38"
27/02/14,"135,599","0,814","5,6","29,79","6,5","91,26","1,701","3,647","4,4","78,19","16,49","3,71",205,"3,667","79,89","16,25"
28/02/14,"134,849","0,824","5,59",30,"6,53","92,49","1,658","3,709","4,44","78,66","16,53","3,72",205,"3,621","80,3","16,29"
03/03/14,"131,049","0,795","5,46","29,07","6,23","92,01","1,665","3,685","4,43","77,48","16,3","3,59",205,"3,703","78,33","15,75"
04/03/14,"133,149","0,844","5,6","29,53","6,43","92,75","1,679","3,732","4,47","78,45","16,73","3,76",205,"3,749","80,58","16,25"
05/03/14,"132,249","0,855","5,68","29,33","6,55","92,98","1,688","3,796","4,56","77,82","17,25","3,87",205,"3,769","80,22","16,33"
06/03/14,"131,649","0,838","5,66","29,66","6,53","92,87","1,691","3,81","4,59","78,06","17,35","3,86",205,"3,809","79,53","16,32"
07/03/14,"131,649","0,816","5,66","28,86","6,36","91,95","1,677","3,732","4,59","78,38","17,33","3,81",205,"3,792","79,31","16,16"
10/03/14,"131,349","0,828","5,69","28,45","6,33","91,17","1,688","3,84","4,65","78,53","17,47","3,83",205,"3,8","79,45","16,19"
11/03/14,"130,899","0,82","5,67","28,21","6,37","90,27","1,655","3,765","4,6","78,95","17,27","3,82",205,"3,725","79,29","16,22"
12/03/14,"128,999","0,806","5,51","27,64","6,39","89,09","1,643","3,721","4,56","79,24","17,28","3,87",205,"3,694","78,41","16,3"
13/03/14,"128,249","0,807","5,43","26,85","6,38","89,78","1,592","3,607","4,38","79,19","17,16","3,94",205,"3,563","77,28","16,16"
14/03/14,"126,749","0,792","5,44","26,44","6,3","90,5","1,572","3,598","4,34","78,98","16,8","3,89","204,7","3,525","76,58","15,93"
17/03/14,"127,999","0,823","5,45","26,71","6,35","90,36","1,583","3,563","4,37","79,84","17,11","4,04","211,7","3,549","76,95","16,15"
18/03/14,"129,099","0,839","5,49","27,14","6,38","91,11","1,562","3,555","4,45","79,77","17,19","4,09","211,9","3,549","77,65","16,24"
19/03/14,"128,299","0,83","5,44","27,62","6,28","92,67","1,549","3,536","4,39","78,78","17,44","4,1","211,1","3,503","77,14","16,07"
20/03/14,"129,299","0,823","5,44","27,71","6,54","93,23","1,575","3,496","4,31","78,32","17,92","4,13","217,7","3,463","77,36","16,17"
21/03/14,"128,949","0,814","5,27","27,51","6,49","95,56","1,588","3,52","4,3","77,88","17,56","4,03","216,4","3,507","78,57","15,86"
24/03/14,"128,449","0,8","5,18","26,85","6,41","95,43","1,586","3,541","4,3","79,3","17,37","3,94","213,5","3,541","77,65","15,64"
25/03/14,"131,299","0,809","5,26","27,18","6,5","96,49","1,571","3,533","4,3","79,81","17,21","4,01",213,"3,587","78,78","15,88"
26/03/14,"132,549","0,839","5,35","27,37","6,58","97,57","1,594","3,554","4,29","79,5","17,18","4,06","212,1","3,588","79,29","16,02"
27/03/14,"132,899","0,839","5,29","27,15","6,62","97,5","1,628","3,634","4,37","79,65","17,01","4,06",211,"3,66","79,27","16,1"
28/03/14,"133,749","0,852","5,37","27,5","6,59","97,96","1,59","3,619","4,38","79,76","16,98","4,11","211,4","3,668","79,73","16,22"
31/03/14,"131,949","0,856","5,39","27,64","6,66","97,69","1,594","3,662","4,44","80,6","17,2","4,11","207,1","3,696","79,14","16,18"
01/04/14,"134,299","0,858","5,48","28,13","6,75","98,07","1,605","3,7","4,4","80,34","17,34","4,1","207,8","3,74","78,9","16,25"
02/04/14,"134,199","0,849","5,55","28,36","6,77","98,03","1,599","3,674","4,43","80,13","17,23","4,03","210,7","3,773","78,91","16,43"
03/04/14,"133,549","0,852","5,6","28,04","6,75","97,6","1,584","3,571","4,35","80,1","17,15","4,11","212,2","3,745","78,93","16,88"
04/04/14,"133,649","0,878","5,54","28,17","6,75","98,44","1,581","3,455","4,25","79,77","16,72","4,12","207,1","3,625","79,81","16,97"
07/04/14,"133,449","0,893","5,32","27,6","6,64","99,02","1,544","3,435","4,18","80,49","16,38","4,1","205,1","3,573","79,29","16,77"
08/04/14,"135,049","0,862","5,59","27,5","6,57","97,32","1,563","3,42","4,19","81,35","16,44","4,08","207,6","3,574","79,78","16,53"
09/04/14,"136,449","0,868","5,55","27,57","6,56","97,1","1,53","3,445","4,15","81,49","16,62","4,14","206,3","3,525","79,25","16,44"
10/04/14,"140,849","0,872","5,56","27,3","6,52","98,48","1,537","3,443","4,13","81,09","16,12","4,03","212,9","3,467","79,35","16,18"
11/04/14,"141,199","0,875","5,42","26,78","6,36","100,11","1,546","3,455","4,12","80,76","15,77","3,96","211,8","3,488","78,56","16,08"
14/04/14,"142,149","0,871","5,33","27,01","6,31","100,94","1,563","3,533","4,21","80,81",16,"4,01","211,8","3,543","78,87","16,19"
15/04/14,"141,999","0,844","5,18","26,52","6,17","99,91","1,581","3,459","4,18","80,84","16,39","3,92","214,3","3,507","78,55","15,87"
16/04/14,"142,949","0,856","5,26","26,71","6,27","101,8","1,579","3,427","4,24","81,65","16,13","4,08","213,5","3,568","79,39","16,35"
17/04/14,"142,699","0,856","5,32","27,15","6,36","102,03","1,581","3,436","4,27","81,76","16,15","4,08",220,"3,525","79,48","16,36"
22/04/14,"143,099","0,89","5,44","27,47","6,44","102,21","1,569","3,428","4,24","81,56","16,09","4,14","221,7","3,612","81,06","16,65"
23/04/14,"142,299","0,898","5,32","27,28","6,46","101,8","1,582","3,476","4,27","81,25","16,29","4,09","222,4","3,704","80,7","16,59"
24/04/14,"142,649","0,89","5,28","27,2","6,47","101,75","1,561","3,435","4,09","80,36","16,37","4,12","227,2","3,651","82,67","16,73"
25/04/14,"141,949","0,864","5,26","26,65","6,41","101,29","1,573","3,47","4,03","81,15","16,34",4,228,"3,712","82,87","16,5"
28/04/14,"141,649","0,877","5,14","26,75","6,42","101,39","1,631","3,315","4,03","81,41","15,95","4,03","227,4","3,724","83,23","16,72"
29/04/14,"140,299","0,898","5,29","27,33","6,55","101,55","1,622","3,38",4,"82,94","14,95","4,12",227,"3,66","83,19","16,98"
30/04/14,"141,749","0,924","5,4","27,04","6,54","100,8","1,635","3,434","4,01","82,44","15,24","4,07","226,6","3,682","82,99","16,83"
02/05/14,"140,799","0,929","5,33","26,9","6,59","101,03","1,645","3,472",4,"82,55","15,14","4,06","224,7","3,698","83,15","16,79"
05/05/14,"140,649","0,924","5,27","26,62","6,53","101,1","1,615","3,371","3,9","82,34","15,09","4,03",223,"3,608","82,99","16,68"
06/05/14,"139,999","0,923","5,23","25,99","6,51",101,"1,639","3,354","3,94","81,92","15,25","3,98","223,3","3,636","82,47","16,58"
07/05/14,"140,099","0,932","5,24","26,01","6,41","101,88","1,647","3,337","3,99","81,7","15,08","4,01","224,6","3,7","83,44","16,63"
08/05/14,"142,699","0,942","5,35","26,46","6,52","100,28","1,639","3,311","3,94","81,13","14,73","4,22","225,1","3,536","84,32","16,74"
09/05/14,"141,849","0,938","5,27","26,29","6,46","100,22","1,664","3,427","4,02","82,09","14,8","4,19","228,7","3,473","84,44","16,57"
12/05/14,"143,249","0,925","5,41","26,43","6,51","100,29","1,685","3,445","4,03","82,16","14,93","4,23","229,3","3,528","85,13","16,62"
13/05/14,"142,949","0,877","5,42","26,67","6,49","100,25","1,69","3,389",4,"82,39","14,74","4,19",230,"3,544","84,76","16,48"
14/05/14,"142,399","0,902","5,39","26,55","6,38","100,74","1,652","3,358","3,96","81,73","15,07","4,16","230,2","3,488","85,37","16,53"
15/05/14,"143,549","0,863","5,3","26,15","6,26","99,5","1,648","3,378","3,92","81,61","15,03",4,"233,3","3,405","85,61","16,39"
16/05/14,"143,749","0,861","5,28","26,16","6,13","99,59","1,644","3,402","3,97","81,17","14,84","4,01",230,"3,386","84,96","16,48"
19/05/14,"142,349","0,856","5,29","25,71","6,18","100,29","1,645","3,407","3,86","80,53","14,55","3,98","230,7","3,399","85,09","15,86"
20/05/14,"142,749","0,842","5,34","25,74","6,27","100,39","1,66","3,473","3,86","80,33","14,51","3,98","231,3","3,447","84,8","15,82"
21/05/14,"143,949","0,831","5,54","25,68","6,34","101,58","1,665","3,502","3,89","79,93","14,67","4,05","235,7","3,499","85,05","15,92"
22/05/14,"143,549","0,827","5,69","25,84","6,33","101,6","1,688","3,565",4,"80,23","14,53","3,96","235,4","3,575","85,57","15,73"
23/05/14,"143,149","0,83","5,78","25,48","6,28","101,39","1,683","3,569","4,01","80,49","14,61","4,06",234,"3,589","85,33","15,96"
26/05/14,"144,249","0,883","5,79","25,64","6,32","102,16","1,691","3,526","4,09","80,65","14,71","4,2","232,2","3,583","85,89","16,59"
27/05/14,"144,649","0,871","5,8","25,78","6,35","101,87","1,691","3,534","4,13","80,52","14,72","4,18","231,2","3,614","85,89","16,53"
28/05/14,"144,199","0,906","5,8","25,77","6,4","103,86","1,69","3,563","4,17","80,08","15,22","4,23","227,6","3,676","85,77","16,66"
29/05/14,"144,499","0,914","5,93","25,65","6,39","104,04","1,696","3,587","4,23","80,1","15,14","4,16","224,7","3,669","85,77","16,55"
30/05/14,"145,949","0,911","5,94","25,3","6,36","103,91","1,709","3,59","4,24","80,4","15,15","4,15","225,6","3,66","86,01","16,61"
02/06/14,"144,699","0,926","5,86","25,27","6,41","103,85","1,73","3,572","4,3","80,79","15,14","4,17","224,8","3,7","86,1","16,7"
03/06/14,"145,049","0,914","5,81","25,15","6,39","103,72","1,729","3,565","4,33","80,36","15,26","4,14",226,"3,697","86,04","16,71"
04/06/14,"145,249","0,938","5,86","25,3","6,48","103,91","1,719","3,58","4,37","79,93","15,21","4,16","226,5","3,695","86,16","16,59"
