date;	clot
20/02/2014;137,149
21/02/2014;137,449
24/02/2014;138,749
25/02/2014;137,349
26/02/2014;135,149
27/02/2014;135,599
28/02/2014;134,849
03/03/2014;131,049
04/03/2014;133,149
05/03/2014;132,249
06/03/2014;131,649
07/03/2014;131,649
10/03/2014;131,349
11/03/2014;130,899
12/03/2014;128,999
13/03/2014;128,249
14/03/2014;126,749
17/03/2014;127,999
18/03/2014;129,099
19/03/2014;128,299
20/03/2014;129,299
21/03/2014;128,949
24/03/2014;128,449
25/03/2014;131,299
26/03/2014;132,549
27/03/2014;132,899
28/03/2014;133,749
31/03/2014;131,949
01/04/2014;134,299
02/04/2014;134,199
03/04/2014;133,549
04/04/2014;133,649
07/04/2014;133,449
08/04/2014;135,049
09/04/2014;136,449
10/04/2014;140,849
11/04/2014;141,199
14/04/2014;142,149
15/04/2014;141,999
16/04/2014;142,949
17/04/2014;142,699
22/04/2014;143,099
23/04/2014;142,299
24/04/2014;142,649
25/04/2014;141,949
28/04/2014;141,649
29/04/2014;140,299
30/04/2014;141,749
02/05/2014;140,799
05/05/2014;140,649
06/05/2014;139,999
07/05/2014;140,099
08/05/2014;142,699
09/05/2014;141,849
12/05/2014;143,249
13/05/2014;142,949
14/05/2014;142,399
15/05/2014;143,549
16/05/2014;143,749
19/05/2014;142,349
20/05/2014;142,749
21/05/2014;143,949
22/05/2014;143,549
23/05/2014;143,149
26/05/2014;144,249
27/05/2014;144,649
28/05/2014;144,199
29/05/2014;144,499
30/05/2014;145,949
02/06/2014;144,699
03/06/2014;145,049
04/06/2014;145,249
05/06/2014;145,749
06/06/2014;143,249
09/06/2014;143,449
10/06/2014;144,599
11/06/2014;144,899
12/06/2014;144,749
13/06/2014;144,399
16/06/2014;144,349
17/06/2014;145,399
18/06/2014;144,849
19/06/2014;145,699
20/06/2014;145,699
23/06/2014;145,499
24/06/2014;145,849
25/06/2014;143,699
26/06/2014;141,249
27/06/2014;140,349
30/06/2014;140,799
