date;clot
20/02/2014;0,866
21/02/2014;0,872
24/02/2014;0,87
25/02/2014;0,875
26/02/2014;0,85
27/02/2014;0,814
28/02/2014;0,824
03/03/2014;0,795
04/03/2014;0,844
05/03/2014;0,855
06/03/2014;0,838
07/03/2014;0,816
10/03/2014;0,828
11/03/2014;0,82
12/03/2014;0,806
13/03/2014;0,807
14/03/2014;0,792
17/03/2014;0,823
18/03/2014;0,839
19/03/2014;0,83
20/03/2014;0,823
21/03/2014;0,814
24/03/2014;0,8
25/03/2014;0,809
26/03/2014;0,839
27/03/2014;0,839
28/03/2014;0,852
31/03/2014;0,856
01/04/2014;0,858
02/04/2014;0,849
03/04/2014;0,852
04/04/2014;0,878
07/04/2014;0,893
08/04/2014;0,862
09/04/2014;0,868
10/04/2014;0,872
11/04/2014;0,875
14/04/2014;0,871
15/04/2014;0,844
16/04/2014;0,856
17/04/2014;0,856
22/04/2014;0,89
23/04/2014;0,898
24/04/2014;0,89
25/04/2014;0,864
28/04/2014;0,877
29/04/2014;0,898
30/04/2014;0,924
02/05/2014;0,929
05/05/2014;0,924
06/05/2014;0,923
07/05/2014;0,932
08/05/2014;0,942
09/05/2014;0,938
12/05/2014;0,925
13/05/2014;0,877
14/05/2014;0,902
15/05/2014;0,863
16/05/2014;0,861
19/05/2014;0,856
20/05/2014;0,842
21/05/2014;0,831
22/05/2014;0,827
23/05/2014;0,83
26/05/2014;0,883
27/05/2014;0,871
28/05/2014;0,906
29/05/2014;0,914
30/05/2014;0,911
02/06/2014;0,926
03/06/2014;0,914
04/06/2014;0,938
05/06/2014;0,949
06/06/2014;0,986
09/06/2014;0,989
10/06/2014;0,99
11/06/2014;0,993
12/06/2014;1,003
13/06/2014;0,987
16/06/2014;0,946
17/06/2014;0,935
18/06/2014;0,945
19/06/2014;0,952
20/06/2014;0,927
23/06/2014;0,915
24/06/2014;0,927
25/06/2014;0,93
26/06/2014;0,933
27/06/2014;0,921
30/06/2014;0,925
01/07/2014;0,917
02/07/2014;0,901
03/07/2014;0,921
04/07/2014;0,907
07/07/2014;0,896
08/07/2014;0,878
09/07/2014;0,88
10/07/2014;0,876
11/07/2014;0,866
14/07/2014;0,873
15/07/2014;0,846
16/07/2014;0,909
17/07/2014;0,872
18/07/2014;0,882
21/07/2014;0,869
22/07/2014;0,88
23/07/2014;0,875
24/07/2014;0,887
25/07/2014;0,897
28/07/2014;0,898
29/07/2014;0,895
30/07/2014;0,892
31/07/2014;0,865
01/08/2014;0,853
04/08/2014;0,865
05/08/2014;0,825
06/08/2014;0,804
07/08/2014;0,812
08/08/2014;0,825
11/08/2014;0,829
12/08/2014;0,823
13/08/2014;0,823
14/08/2014;0,81
18/08/2014;0,81
19/08/2014;0,822
20/08/2014;0,822
21/08/2014;0,843
22/08/2014;0,833
25/08/2014;0,842
26/08/2014;0,836
27/08/2014;0,863
28/08/2014;0,874
29/08/2014;0,876
01/09/2014;0,866
02/09/2014;0,863
03/09/2014;0,862
04/09/2014;0,878
05/09/2014;0,87
08/09/2014;0,887
09/09/2014;0,914
10/09/2014;0,919
11/09/2014;0,932
12/09/2014;0,927
15/09/2014;0,919
16/09/2014;0,9
17/09/2014;0,914
18/09/2014;0,906
19/09/2014;0,894
22/09/2014;0,888
23/09/2014;0,888
24/09/2014;0,913
25/09/2014;0,914
26/09/2014;0,931
29/09/2014;0,91
30/09/2014;0,908
01/10/2014;0,891
02/10/2014;0,866
03/10/2014;0,881
06/10/2014;0,868
07/10/2014;0,862
08/10/2014;0,852
09/10/2014;0,832
10/10/2014;0,828
13/10/2014;0,811
14/10/2014;0,84
15/10/2014;0,799
16/10/2014;0,767
17/10/2014;0,782
20/10/2014;0,787
21/10/2014;0,803
22/10/2014;0,815
23/10/2014;0,826
24/10/2014;0,839
27/10/2014;0,819
28/10/2014;0,856
29/10/2014;0,86
30/10/2014;0,867
31/10/2014;0,903
03/11/2014;0,898
04/11/2014;0,873
05/11/2014;0,903
06/11/2014;0,878
07/11/2014;0,865
10/11/2014;0,856
11/11/2014;0,87
12/11/2014;0,87
13/11/2014;0,887
14/11/2014;0,901
17/11/2014;0,912
18/11/2014;0,903
19/11/2014;0,914
20/11/2014;0,904
21/11/2014;0,92
24/11/2014;0,884
25/11/2014;0,884
26/11/2014;0,874
27/11/2014;0,892
28/11/2014;0,906
01/12/2014;0,887
02/12/2014;0,891
03/12/2014;0,918
04/12/2014;0,933
05/12/2014;0,951
08/12/2014;0,944
09/12/2014;0,93
10/12/2014;0,924
11/12/2014;0,943
12/12/2014;0,914
15/12/2014;0,896
16/12/2014;0,901
17/12/2014;0,889
18/12/2014;0,91
19/12/2014;0,9
22/12/2014;0,89
23/12/2014;0,895
29/12/2014;0,893
30/12/2014;0,882
02/01/2015;0,876
05/01/2015;0,85
06/01/2015;0,858
07/01/2015;0,851
08/01/2015;0,875
09/01/2015;0,855
12/01/2015;0,866
13/01/2015;0,904
14/01/2015;0,879
15/01/2015;0,888
16/01/2015;0,917
19/01/2015;0,93
20/01/2015;0,94
21/01/2015;0,964
22/01/2015;0,974
23/01/2015;1,018
26/01/2015;1,011
27/01/2015;1,012
28/01/2015;1
29/01/2015;1,017
30/01/2015;1,033
02/02/2015;1,009
03/02/2015;1,023
04/02/2015;1,018
05/02/2015;0,982
06/02/2015;0,963
09/02/2015;0,95
10/02/2015;0,999
11/02/2015;0,977
12/02/2015;0,979
13/02/2015;0,973
16/02/2015;0,998
17/02/2015;1,04
18/02/2015;1,037
19/02/2015;1,024
20/02/2015;1,013
23/02/2015;1,019
24/02/2015;1,02
25/02/2015;1,036
26/02/2015;1,066
27/02/2015;1,066
02/03/2015;1,08
03/03/2015;1,077
04/03/2015;1,095
